transect,plot,pt,top_layer,code1,code2,code3,soil_surface,site,soil_surface_code,group,location
North ,1,1,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,2,ERFA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,3,ERFA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,4,SAAP,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,5,SAAP,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,6,SAAP,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,7,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,8,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,9,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,10,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,11,,,,,AG,Caroline Park,,NLB,Caroline Park
North ,1,12,,,,,AG,Caroline Park,,NLB,Caroline Park
North ,1,13,,,,,AG,Caroline Park,,NLB,Caroline Park
North ,1,14,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,15,,,,,AF,Caroline Park,,NLB,Caroline Park
North ,1,16,ARCA,,,,AF,Caroline Park,,NLB,Caroline Park
North ,1,17,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,18,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,19,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,1,20,,,,,LC,Caroline Park,,NLB,Caroline Park
North ,1,21,,,,,LC,Caroline Park,,NLB,Caroline Park
North ,1,22,,,,,LC,Caroline Park,,NLB,Caroline Park
North ,1,23,,,,,LC,Caroline Park,,NLB,Caroline Park
North ,1,24,,,,,LC,Caroline Park,,NLB,Caroline Park
North ,1,25,,,,,LC,Caroline Park,,NLB,Caroline Park
North ,2,26,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,27,PS1,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,28,PS1,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,29,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,30,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,31,ARCA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,32,ERFA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,33,ERFA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,34,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,35,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,36,ERFA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,37,ERFA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,38,ERFA,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,39,ERFA,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,40,,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,41,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,42,ARCA,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,43,ERFA,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,44,ERFA,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,45,ERFA,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,46,,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,47,,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,48,ARCA,,,,AG,Caroline Park,,NLB,Caroline Park
North ,2,49,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
North ,2,50,ARCA,,,,AG,Caroline Park,,NLB,Caroline Park
South,3,1,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
South,3,2,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
South,3,3,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
South,3,4,HIIN,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
South,3,5,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
South,3,6,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
South,3,7,,,,,BARE SOIL,Caroline Park,S,NLB,Caroline Park
South,3,8,,,,,Moss,Caroline Park,,NLB,Caroline Park
South,3,9,,,,,Lichen,Caroline Park,,NLB,Caroline Park
South,3,10,,,,,Lichen,Caroline Park,,NLB,Caroline Park
