transect,plot,pt,top_layer,code1,code2,code3,soil_surface,site,soil_surface_code,group,location
North,1,1,ARCA,,,,Moss,Caroline Park,M,IDK Group,Caroline Park
North,1,2,ARCA,,,,Bare Soil,Caroline Park,S ,IDK Group,Caroline Park
North,1,3,ARCA,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,4,ARCA,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,5,ARCA,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,6,ARCA,AG1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,7,ARCA,AG1,,,Bare Soil,Caroline Park,S ,IDK Group,Caroline Park
North,1,8,ARCA,AG1,AF2,,Bare Soil,Caroline Park,S ,IDK Group,Caroline Park
North,1,9,ARCA,AG1,,,Bare Soil,Caroline Park,S,IDK Group,Caroline Park
North,1,10,OEBI,ERFA,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,11,OEBI,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,12,None,ERFA,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,13,OEBI,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,14,ARCA,OEBI,ERFA,AF1,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,15,ERFA,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,16,ERFA,ARCA,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,17,ERFA,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,18,ERFA,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,19,ERFA,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,20,ERFA,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,21,OEBI,ERFA,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,22,OEBI,ERFA,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,23,OEBI,ERFA,AF1,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,1,24,NONE,DEAD,AF1,,Biotic Crust on Soil,Caroline Park,LC,IDK Group,Caroline Park
North,1,25,NONE,DEAD,AF1,,Biotic Crust on Soil,Caroline Park,LC,IDK Group,Caroline Park
North,2,26,AF3,AG1,,,Bare Soil,Caroline Park,S ,IDK Group,Caroline Park
North,2,27,NONE,AG1,,,Bare Soil,Caroline Park,S ,IDK Group,Caroline Park
North,2,28,NONE,AG1,,,Moss,Caroline Park,M,IDK Group,Caroline Park
North,2,29,NONE,AG1,,,Moss,Caroline Park,M,IDK Group,Caroline Park
North,2,30,NONE,AG1,,,Bare Soil,Caroline Park,S,IDK Group,Caroline Park
North,2,31,AF4,AG1,,,Bare Soil,Caroline Park,S,IDK Group,Caroline Park
North,2,32,NONE,AG1,,,Moss,Caroline Park,M,IDK Group,Caroline Park
North,2,33,ERFA,AG1,,,Bare Soil,Caroline Park,S,IDK Group,Caroline Park
North,2,34,ERFA,AG1,,,Bare Soil,Caroline Park,S ,IDK Group,Caroline Park
North,2,35,ERFA,AG1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,36,ERFA,,,,"Rock, Duff",Caroline Park,"R,D",IDK Group,Caroline Park
North,2,37,ERFA,,,,"Rock, Duff",Caroline Park,"R,D",IDK Group,Caroline Park
North,2,38,ERFA,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,39,ERFA,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,40,OEBI,ERFA,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,41,OEBI,ERFA,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,42,OEBI,ERFA,AF1,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,43,OEBI,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,44,OEBI,ERFA,AF1,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,45,OEBI,ERFA,AF1,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,46,OEBI,ERFA,AF1,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,47,ERFA,AF1,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,48,ERFA,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,49,OEBI,ERFA ,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,2,50,OEBI,,,,Duff,Caroline Park,D,IDK Group,Caroline Park
North,3,51,NONE,AG1,,,Bare Soil,Caroline Park,S,IDK Group,Caroline Park
North,3,52,NONE,AG1,,,Bare Soil,Caroline Park,S,IDK Group,Caroline Park
North,3,53,NONE,AG1,,,Moss,Caroline Park,M,IDK Group,Caroline Park
North,3,54,NONE,AG1,,,Moss,Caroline Park,M,IDK Group,Caroline Park
North,3,55,CLAR,AG1,,,Bare Soil,Caroline Park,S,IDK Group,Caroline Park
