transect,plot,pt,top_layer,code1,code2,code3,soil_surface,site,soil_surface_code
Northeast,3,1,LATR,BRNI,,,BARE SOIL,ExampleGroup1,S
Northeast,3,2,LATR,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,3,,IG#1,,,BARE SOIL,ExampleGroup1,S
Northeast,3,4,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,5,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,6,AMSA,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,7,AMSA,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,8,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,9,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,10,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,11,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,12,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,13,AMSA,IG#1,,,BARE SOIL,ExampleGroup1,S
Northeast,3,14,ERFA,IG#1,,,BARE SOIL,ExampleGroup1,S
Northeast,3,15,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,16,,BRNI,AMSA,,BARE SOIL,ExampleGroup1,S
Northeast,3,17,,BRNI,,,BARE SOIL,ExampleGroup1,S
Northeast,3,18,,IG#1,,,BARE SOIL,ExampleGroup1,S
Northeast,3,19,,IG#1,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,20,,BRNI,,,BARE SOIL,ExampleGroup1,S
Northeast,3,21,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,22,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,23,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,24,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,3,25,,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,4,1,ERFA,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,4,2,AMSA,BRNI,IG#1,,BARE SOIL,ExampleGroup1,S
Northeast,4,3,,IG#1,,,BARE SOIL,ExampleGroup1,S
