"site_name","habitat_type","year","value","climate_variable"
"Angelus Oaks","Forest",1895,11.4440002441406,"tmean"
"Angelus Oaks","Forest",1896,11.6730003356934,"tmean"
"Angelus Oaks","Forest",1897,11.3910007476807,"tmean"
"Angelus Oaks","Forest",1898,12.0070009231567,"tmean"
"Angelus Oaks","Forest",1899,10.6300001144409,"tmean"
"Angelus Oaks","Forest",1900,11.1400003433228,"tmean"
"Angelus Oaks","Forest",1901,11.32200050354,"tmean"
"Angelus Oaks","Forest",1902,10.4360008239746,"tmean"
"Angelus Oaks","Forest",1903,10.8970003128052,"tmean"
"Angelus Oaks","Forest",1904,12.3940010070801,"tmean"
"Angelus Oaks","Forest",1905,11.451000213623,"tmean"
"Angelus Oaks","Forest",1906,11.5220003128052,"tmean"
"Angelus Oaks","Forest",1907,11.1760005950928,"tmean"
"Angelus Oaks","Forest",1908,11.076000213623,"tmean"
"Angelus Oaks","Forest",1909,11.4180002212524,"tmean"
"Angelus Oaks","Forest",1910,11.4130001068115,"tmean"
"Angelus Oaks","Forest",1911,10.4740009307861,"tmean"
"Angelus Oaks","Forest",1912,10.206000328064,"tmean"
"Angelus Oaks","Forest",1913,9.26500034332275,"tmean"
"Angelus Oaks","Forest",1914,10.6910009384155,"tmean"
"Angelus Oaks","Forest",1915,10.1700000762939,"tmean"
"Angelus Oaks","Forest",1916,10.5600004196167,"tmean"
"Angelus Oaks","Forest",1917,10.6680002212524,"tmean"
"Angelus Oaks","Forest",1918,10.867000579834,"tmean"
"Angelus Oaks","Forest",1919,10.3090000152588,"tmean"
"Angelus Oaks","Forest",1920,10.2850008010864,"tmean"
"Angelus Oaks","Forest",1921,10.081000328064,"tmean"
"Angelus Oaks","Forest",1922,9.83700084686279,"tmean"
"Angelus Oaks","Forest",1923,9.91500091552734,"tmean"
"Angelus Oaks","Forest",1924,10.2280006408691,"tmean"
"Angelus Oaks","Forest",1925,10.6090002059937,"tmean"
"Angelus Oaks","Forest",1926,11.2360000610352,"tmean"
"Angelus Oaks","Forest",1927,10.0900001525879,"tmean"
"Angelus Oaks","Forest",1928,10.8550004959106,"tmean"
"Angelus Oaks","Forest",1929,10.9770002365112,"tmean"
"Angelus Oaks","Forest",1930,10.7790002822876,"tmean"
"Angelus Oaks","Forest",1931,11.326000213623,"tmean"
"Angelus Oaks","Forest",1932,10.4140005111694,"tmean"
"Angelus Oaks","Forest",1933,10.5390005111694,"tmean"
"Angelus Oaks","Forest",1934,12.5010004043579,"tmean"
"Angelus Oaks","Forest",1935,10.2580003738403,"tmean"
