"site_name","habitat_type","climate_variable","n_years","first_year","last_year","slope_per_year","slope_per_decade","slope_per_century","r_squared","p_value","units"
"Angelus Oaks","Forest","ppt",131,1895,2025,-0.860283059879886,-8.60283059879886,-86.0283059879886,0.0149221553184815,0.164542910886994,"mm"
"Angelus Oaks","Forest","tmean",131,1895,2025,0.017905976374838,0.17905976374838,1.7905976374838,0.442733132564386,4.36246274124612e-18,"degrees C"
"Boruchin Preserve","Dune","ppt",131,1895,2025,-0.483821874516814,-4.83821874516814,-48.3821874516814,0.0191220116517945,0.115228254282221,"mm"
"Boruchin Preserve","Dune","tmean",131,1895,2025,0.0180042679206881,0.180042679206881,1.80042679206881,0.625152636095189,2.88042973451663e-29,"degrees C"
"Caroline Park","Shrubland","ppt",131,1895,2025,-0.437795815080672,-4.37795815080672,-43.7795815080672,0.0158612601877924,0.151753566954251,"mm"
"Caroline Park","Shrubland","tmean",131,1895,2025,0.0165777886409574,0.165777886409574,1.65777886409574,0.528431136746174,8.41509771707645e-23,"degrees C"
"Forest Falls","Forest","ppt",131,1895,2025,-1.21866313885657,-12.1866313885657,-121.866313885657,0.0129945594972642,0.19482285660991,"mm"
"Forest Falls","Forest","tmean",131,1895,2025,0.0165017492904911,0.165017492904911,1.65017492904911,0.513733157552941,6.17683474539219e-22,"degrees C"
"Harng 'Aki Preserve","Shrubland","ppt",131,1895,2025,-0.541387551650344,-5.41387551650344,-54.1387551650344,0.0241796232911637,0.0761454780773207,"mm"
"Harng 'Aki Preserve","Shrubland","tmean",131,1895,2025,0.0154004710690298,0.154004710690298,1.54004710690298,0.492034600909158,1.05377634703603e-20,"degrees C"
"Oak Glen Preserve","Forest","ppt",131,1895,2025,-0.702463015523395,-7.02463015523395,-70.2463015523395,0.0114762536281706,0.223267863085028,"mm"
"Oak Glen Preserve","Forest","tmean",131,1895,2025,0.0150914587862803,0.150914587862803,1.50914587862803,0.401772707629981,4.43485292599567e-16,"degrees C"
"San Timoteo Canyon","Riparian","ppt",131,1895,2025,-0.541387551650344,-5.41387551650344,-54.1387551650344,0.0241796232911637,0.0761454780773207,"mm"
"San Timoteo Canyon","Riparian","tmean",131,1895,2025,0.0154004710690298,0.154004710690298,1.54004710690298,0.492034600909158,1.05377634703603e-20,"degrees C"
"Snow Creek","Desert","ppt",131,1895,2025,-0.112580994150029,-1.12580994150029,-11.2580994150029,0.00146520572800126,0.664236141386338,"mm"
"Snow Creek","Desert","tmean",131,1895,2025,0.0184402219625416,0.184402219625416,1.84402219625416,0.611686104050553,2.8363398445432e-28,"degrees C"
"University of Redlands","Urban","ppt",131,1895,2025,-0.437117611145823,-4.37117611145823,-43.7117611145823,0.0151865698302125,0.16082318682101,"mm"
"University of Redlands","Urban","tmean",131,1895,2025,0.0168070394586959,0.168070394586959,1.68070394586959,0.539565654755717,1.78366658067983e-23,"degrees C"
